127.0.0.1 - - [09/Oct/2019:14:40:01 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:40:02 +0530] "GET /sample/sample.html HTTP/1.1" 200 964
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:42:23 +0530] "GET /sample/action_page.php?email=dfghjfgj&psw=sai&psw-repeat=sai HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:46:08 +0530] "GET /sample/sample.html HTTP/1.1" 200 879
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:46:28 +0530] "GET /sample/sample.html HTTP/1.1" 200 880
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:46:31 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:46:31 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:46:45 +0530] "GET /sample/sample.html HTTP/1.1" 200 881
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:48:26 +0530] "GET /sample/sample.html HTTP/1.1" 200 899
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:48:55 +0530] "GET /sample/sample.html HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:49:17 +0530] "GET /sample/sample.html HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:49:52 +0530] "GET /sample/sample.html HTTP/1.1" 200 762
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:50:16 +0530] "GET /sample/sample.html HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:50:46 +0530] "GET /sample/sample.html HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:50:47 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:50:47 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:50:47 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:50:47 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:50:47 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:50:48 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:50:48 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:50:48 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:50:49 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:51:57 +0530] "GET /sample/sample.html HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:51:58 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:51:58 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:51:58 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:53:09 +0530] "GET /sample/sample.html HTTP/1.1" 200 821
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:53:10 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:53:10 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:53:10 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:53:10 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:53:36 +0530] "GET /sample/sample.html HTTP/1.1" 200 797
0:0:0:0:0:0:0:1 - - [09/Oct/2019:14:53:36 +0530] "GET /sample/sample.html HTTP/1.1" 304 -
